idx,x1,y1,x2,y2,dx,dy,len,angle_deg,label,mid_x,mid_y,roi_overlap,norm_x,norm_y
0,80,517,582,525,502,8,502.06374097319554,0.913002866815424,0,331.0,521.0,-1,0.3232421875,0.8905982905982905
1,424,559,775,559,351,0,351.0,0.0,0,599.5,559.0,-1,0.58544921875,0.9555555555555556
2,331,381,727,381,396,0,396.0,0.0,0,529.0,381.0,-1,0.5166015625,0.6512820512820513
3,670,348,1023,560,353,212,411.76813864115326,30.987619829116472,1,846.5,454.0,-1,0.82666015625,0.7760683760683761
4,646,348,963,578,317,230,391.6490776192381,35.962839025857576,1,804.5,463.0,-1,0.78564453125,0.7914529914529914
5,335,379,712,379,377,0,377.0,0.0,0,523.5,379.0,-1,0.51123046875,0.6478632478632479
6,168,557,203,557,35,0,35.0,0.0,0,185.5,557.0,-1,0.18115234375,0.9521367521367521
7,665,348,1020,561,355,213,413.9975845340163,30.96375653207352,1,842.5,454.5,-1,0.82275390625,0.7769230769230769
8,352,558,423,558,71,0,71.0,0.0,0,387.5,558.0,-1,0.37841796875,0.9538461538461539
9,89,555,416,351,327,-204,385.4153603581466,148.04189052666197,0,252.5,453.0,-1,0.24658203125,0.7743589743589744
10,238,556,287,556,49,0,49.0,0.0,0,262.5,556.0,-1,0.25634765625,0.9504273504273504
11,18,555,387,351,369,-204,421.6360990237909,151.06418449267164,0,202.5,453.0,-1,0.19775390625,0.7743589743589744
12,871,560,1022,560,151,0,151.0,0.0,0,946.5,560.0,-1,0.92431640625,0.9572649572649573
13,46,535,392,351,346,-184,391.8826354918013,151.99631612865932,0,219.0,443.0,-1,0.2138671875,0.7572649572649572
14,653,348,970,578,317,230,391.6490776192381,35.962839025857576,1,811.5,463.0,-1,0.79248046875,0.7914529914529914
15,250,425,800,425,550,0,550.0,0.0,0,525.0,425.0,-1,0.5126953125,0.7264957264957265
16,87,553,296,422,209,-131,246.661711661944,147.92075033583157,0,191.5,487.5,-1,0.18701171875,0.8333333333333334
17,728,561,826,561,98,0,98.0,0.0,0,777.0,561.0,-1,0.7587890625,0.958974358974359
18,85,553,409,351,324,-202,381.81147180251145,148.05824339487128,0,247.0,452.0,-1,0.2412109375,0.7726495726495727
19,400,352,657,348,257,-4,257.0311265197272,179.1083088924781,0,528.5,350.0,-1,0.51611328125,0.5982905982905983
