idx,x1,y1,x2,y2,dx,dy,len,angle_deg,label,mid_x,mid_y,roi_overlap,norm_x,norm_y
0,80,517,467,523,387,6,387.04650883324086,0.8882354952397712,0,273.5,520.0,-1,0.26708984375,0.8888888888888888
1,424,559,775,559,351,0,351.0,0.0,0,599.5,559.0,-1,0.58544921875,0.9555555555555556
2,331,381,638,381,307,0,307.0,0.0,0,484.5,381.0,-1,0.47314453125,0.6512820512820513
3,670,348,1023,560,353,212,411.76813864115326,30.987619829116472,1,846.5,454.0,-1,0.82666015625,0.7760683760683761
4,646,348,963,578,317,230,391.6490776192381,35.962839025857576,1,804.5,463.0,-1,0.78564453125,0.7914529914529914
5,513,526,614,525,101,-1,101.00495037373169,179.43273359014208,0,563.5,525.5,-1,0.55029296875,0.8982905982905983
6,335,379,723,379,388,0,388.0,0.0,0,529.0,379.0,-1,0.5166015625,0.6478632478632479
7,168,557,203,557,35,0,35.0,0.0,0,185.5,557.0,-1,0.18115234375,0.9521367521367521
8,665,348,911,496,246,148,287.08883642524313,31.03221023846726,1,788.0,422.0,-1,0.76953125,0.7213675213675214
9,352,558,423,558,71,0,71.0,0.0,0,387.5,558.0,-1,0.37841796875,0.9538461538461539
10,130,530,321,410,191,-120,225.5681715136247,147.8599934975669,2,225.5,470.0,-1,0.22021484375,0.8034188034188035
11,238,556,287,556,49,0,49.0,0.0,0,262.5,556.0,-1,0.25634765625,0.9504273504273504
12,18,555,214,447,196,-108,223.78561169118984,151.14433878028348,2,116.0,501.0,-1,0.11328125,0.8564102564102564
13,282,410,393,351,111,-59,125.70600622086441,152.00794695540733,2,337.5,380.5,-1,0.32958984375,0.6504273504273504
14,871,560,1022,560,151,0,151.0,0.0,0,946.5,560.0,-1,0.92431640625,0.9572649572649573
15,653,348,970,578,317,230,391.6490776192381,35.962839025857576,1,811.5,463.0,-1,0.79248046875,0.7914529914529914
16,358,425,520,425,162,0,162.0,0.0,0,439.0,425.0,-1,0.4287109375,0.7264957264957265
17,151,478,389,351,238,-127,269.7647122957337,151.91501943601688,2,270.0,414.5,-1,0.263671875,0.7085470085470086
