idx,x1,y1,x2,y2,dx,dy,len,angle_deg,label,mid_x,mid_y,roi_overlap,norm_x,norm_y
0,669,348,1009,552,340,204,396.50472884948044,30.96375653207352,1,839.0,450.0,-1,0.8193359375,0.7692307692307693
1,652,348,969,578,317,230,391.6490776192381,35.962839025857576,1,810.5,463.0,-1,0.79150390625,0.7914529914529914
2,253,425,798,425,545,0,545.0,0.0,0,525.5,425.0,-1,0.51318359375,0.7264957264957265
3,79,556,408,351,329,-205,387.6415870362725,148.07295387670078,2,243.5,453.5,-1,0.23779296875,0.7752136752136752
4,14,554,221,558,207,4,207.03864373589778,1.1070270456807774,0,117.5,556.0,-1,0.11474609375,0.9504273504273504
5,142,484,392,351,250,-133,283.17662332897464,151.98702257693282,2,267.0,417.5,-1,0.2607421875,0.7136752136752137
6,71,523,394,351,323,-172,365.9412521156914,151.9643532966609,2,232.5,437.0,-1,0.22705078125,0.747008547008547
7,818,559,924,560,106,1,106.00471687618433,0.5405101871306666,0,871.0,559.5,-1,0.8505859375,0.9564102564102565
8,432,379,568,379,136,0,136.0,0.0,0,500.0,379.0,-1,0.48828125,0.6478632478632479
9,843,520,951,518,108,-2,108.01851693112621,178.93908830973578,0,897.0,519.0,-1,0.8759765625,0.8871794871794871
10,643,348,972,578,329,230,401.4237162899073,34.95694115426024,1,807.5,463.0,-1,0.78857421875,0.7914529914529914
11,709,422,791,422,82,0,82.0,0.0,0,750.0,422.0,-1,0.732421875,0.7213675213675214
12,85,556,414,351,329,-205,387.6415870362725,148.07295387670078,2,249.5,453.5,-1,0.24365234375,0.7752136752136752
13,667,348,1020,560,353,212,411.76813864115326,30.987619829116472,1,843.5,454.0,-1,0.82373046875,0.7760683760683761
14,843,522,937,522,94,0,94.0,0.0,0,890.0,522.0,-1,0.869140625,0.8923076923076924
15,257,423,373,423,116,0,116.0,0.0,0,315.0,423.0,-1,0.3076171875,0.7230769230769231
16,13,555,274,416,261,-139,295.70593500976605,151.9617058865329,2,143.5,485.5,-1,0.14013671875,0.82991452991453
17,386,351,446,351,60,0,60.0,0.0,0,416.0,351.0,-1,0.40625,0.6
18,85,518,142,522,57,4,57.14017850864661,4.014175695411026,0,113.5,520.0,-1,0.11083984375,0.8888888888888888
