idx,x1,y1,x2,y2,dx,dy,len,angle_deg,label,mid_x,mid_y,roi_overlap,norm_x,norm_y
0,423,558,776,558,353,0,353.0,0.0,0,599.5,558.0,-1,0.58544921875,0.9538461538461539
1,439,562,1020,562,581,0,581.0,0.0,0,729.5,562.0,-1,0.71240234375,0.9606837606837607
2,287,377,720,377,433,0,433.0,0.0,0,503.5,377.0,-1,0.49169921875,0.6444444444444445
3,351,557,534,557,183,0,183.0,0.0,0,442.5,557.0,-1,0.43212890625,0.9521367521367521
4,197,518,470,522,273,4,273.02930245671433,0.8394385337123186,0,333.5,520.0,-1,0.32568359375,0.8888888888888888
5,144,521,535,527,391,6,391.0460330958492,0.8791501206731048,0,339.5,524.0,-1,0.33154296875,0.8957264957264958
6,668,346,1009,550,341,204,397.3625548538765,30.889571274203057,1,838.5,448.0,-1,0.81884765625,0.7658119658119659
7,625,522,952,517,327,-5,327.0382240656281,179.12398601088202,0,788.5,519.5,-1,0.77001953125,0.888034188034188
8,248,426,801,426,553,0,553.0,0.0,0,524.5,426.0,-1,0.51220703125,0.7282051282051282
9,287,381,726,381,439,0,439.0,0.0,0,506.5,381.0,-1,0.49462890625,0.6512820512820513
10,12,556,221,560,209,4,209.03827400741713,1.0964360839930283,0,116.5,558.0,-1,0.11376953125,0.9538461538461539
11,269,413,323,383,54,-30,61.773780845922005,150.94539590092285,2,296.0,398.0,-1,0.2890625,0.6803418803418804
12,653,346,976,580,323,234,398.8546101024783,35.921759164606634,1,814.5,463.0,-1,0.79541015625,0.7914529914529914
13,84,552,409,349,325,-203,383.1892482834037,148.01046624642595,2,246.5,450.5,-1,0.24072265625,0.7700854700854701
14,146,520,511,526,365,6,365.0493117374692,0.9417636088164733,0,328.5,523.0,-1,0.32080078125,0.8940170940170941
15,91,510,287,405,196,-105,222.35332243976026,151.82140989004083,2,189.0,457.5,-1,0.1845703125,0.782051282051282
16,665,525,836,523,171,-2,171.011695506477,179.32990447777547,0,750.5,524.0,-1,0.73291015625,0.8957264957264958
17,167,476,397,349,230,-127,262.73370548903694,151.09366560935572,2,282.0,412.5,-1,0.275390625,0.7051282051282052
18,644,346,892,526,248,180,306.4375956047169,35.97238704928491,1,768.0,436.0,-1,0.75,0.7452991452991453
19,196,489,420,349,224,-140,264.1514716975849,147.9946167919165,2,308.0,419.0,-1,0.30078125,0.7162393162393162
20,817,575,978,580,161,5,161.07762104029226,1.7788003156738479,0,897.5,577.5,-1,0.87646484375,0.9871794871794872
21,297,561,438,561,141,0,141.0,0.0,0,367.5,561.0,-1,0.35888671875,0.958974358974359
22,386,349,611,349,225,0,225.0,0.0,0,498.5,349.0,-1,0.48681640625,0.5965811965811966
23,651,346,962,572,311,226,384.44375401350976,36.005458764059775,1,806.5,459.0,-1,0.78759765625,0.7846153846153846
24,659,346,898,490,239,144,279.0286723618202,31.06940320923342,1,778.5,418.0,-1,0.76025390625,0.7145299145299145
25,287,556,350,556,63,0,63.0,0.0,0,318.5,556.0,-1,0.31103515625,0.9504273504273504
26,501,354,683,354,182,0,182.0,0.0,0,592.0,354.0,-1,0.578125,0.6051282051282051
27,278,421,374,421,96,0,96.0,0.0,0,326.0,421.0,-1,0.318359375,0.7196581196581197
28,842,493,951,572,109,79,134.61797799699713,35.93349726018383,1,896.5,532.5,-1,0.87548828125,0.9102564102564102
29,237,555,286,555,49,0,49.0,0.0,0,261.5,555.0,-1,0.25537109375,0.9487179487179487
30,709,420,791,420,82,0,82.0,0.0,0,750.0,420.0,-1,0.732421875,0.717948717948718
31,10,554,253,424,243,-130,275.5884612969128,151.85413537169637,2,131.5,489.0,-1,0.12841796875,0.8358974358974359
32,686,357,1007,550,321,193,374.55306700119274,31.016225179964565,1,846.5,453.5,-1,0.82666015625,0.7752136752136752
33,432,383,568,383,136,0,136.0,0.0,0,500.0,383.0,-1,0.48828125,0.6547008547008547
34,91,549,203,554,112,5,112.11155159036913,2.5561500785782822,0,147.0,551.5,-1,0.1435546875,0.9427350427350427
35,660,346,775,415,115,69,134.1118935814419,30.96375653207352,1,717.5,380.5,-1,0.70068359375,0.6504273504273504
36,347,423,432,423,85,0,85.0,0.0,0,389.5,423.0,-1,0.38037109375,0.7230769230769231
37,359,427,767,427,408,0,408.0,0.0,0,563.0,427.0,-1,0.5498046875,0.7299145299145299
38,516,518,664,525,148,7,148.16544806398016,2.707917485866198,0,590.0,521.5,-1,0.576171875,0.8914529914529915
39,696,425,751,425,55,0,55.0,0.0,0,723.5,425.0,-1,0.70654296875,0.7264957264957265
40,773,563,936,552,163,-11,163.37074401495514,176.13926737511673,0,854.5,557.5,-1,0.83447265625,0.9529914529914529
