idx,x1,y1,x2,y2,dx,dy,len,angle_deg,label,mid_x,mid_y,roi_overlap,norm_x,norm_y
0,439,562,1020,562,581,0,581.0,0.0,0,729.5,562.0,-1,0.71240234375,0.9606837606837607
1,423,558,776,558,353,0,353.0,0.0,0,599.5,558.0,-1,0.58544921875,0.9538461538461539
2,351,557,534,557,183,0,183.0,0.0,0,442.5,557.0,-1,0.43212890625,0.9521367521367521
3,81,516,522,523,441,7,441.0555520566542,0.9093804491991415,0,301.5,519.5,-1,0.29443359375,0.888034188034188
4,13,557,57,557,44,0,44.0,0.0,0,35.0,557.0,-1,0.0341796875,0.9521367521367521
5,799,425,1018,557,219,132,255.70490804832042,31.07903963507925,1,908.5,491.0,-1,0.88720703125,0.8393162393162393
6,75,519,535,527,460,8,460.0695599580568,0.9963478965049255,0,305.0,523.0,-1,0.2978515625,0.8940170940170941
7,287,377,720,377,433,0,433.0,0.0,0,503.5,377.0,-1,0.49169921875,0.6444444444444445
8,75,557,222,559,147,2,147.0136048126159,0.7794863211184798,0,148.5,558.0,-1,0.14501953125,0.9538461538461539
9,248,426,802,426,554,0,554.0,0.0,0,525.0,426.0,-1,0.5126953125,0.7282051282051282
10,676,525,904,522,228,-3,228.01973598791838,179.24615166692922,0,790.0,523.5,-1,0.771484375,0.8948717948717949
11,843,518,951,516,108,-2,108.01851693112621,178.93908830973578,0,897.0,517.0,-1,0.8759765625,0.8837606837606837
12,669,346,845,452,176,106,205.4555913086816,31.059408829709984,1,757.0,399.0,-1,0.7392578125,0.6820512820512821
13,297,561,438,561,141,0,141.0,0.0,0,367.5,561.0,-1,0.35888671875,0.958974358974359
14,435,420,638,420,203,0,203.0,0.0,0,536.5,420.0,-1,0.52392578125,0.717948717948718
15,386,349,677,349,291,0,291.0,0.0,0,531.5,349.0,-1,0.51904296875,0.5965811965811966
16,287,381,726,381,439,0,439.0,0.0,0,506.5,381.0,-1,0.49462890625,0.6512820512820513
17,873,556,1000,556,127,0,127.0,0.0,0,936.5,556.0,-1,0.91455078125,0.9504273504273504
18,11,555,218,441,207,-114,236.31546711969574,151.15733986458793,2,114.5,498.0,-1,0.11181640625,0.8512820512820513
19,257,421,374,421,117,0,117.0,0.0,0,315.5,421.0,-1,0.30810546875,0.7196581196581197
20,637,346,972,580,335,234,408.63308725554765,34.93458659759386,1,804.5,463.0,-1,0.78564453125,0.7914529914529914
21,450,527,606,525,156,-2,156.01281998605114,179.2654789657452,0,528.0,526.0,-1,0.515625,0.8991452991452992
22,83,552,404,352,321,-200,378.20761494184643,148.07490791020112,2,243.5,452.0,-1,0.23779296875,0.7726495726495727
23,652,346,975,580,323,234,398.8546101024783,35.921759164606634,1,813.5,463.0,-1,0.79443359375,0.7914529914529914
24,253,423,694,423,441,0,441.0,0.0,0,473.5,423.0,-1,0.46240234375,0.7230769230769231
25,25,554,391,352,366,-202,418.04305998305966,151.10514208414887,2,208.0,453.0,-1,0.203125,0.7743589743589744
26,93,552,414,352,321,-200,378.20761494184643,148.07490791020112,2,253.5,452.0,-1,0.24755859375,0.7726495726495727
27,191,554,236,554,45,0,45.0,0.0,0,213.5,554.0,-1,0.20849609375,0.947008547008547
28,658,346,959,527,301,181,351.2292698509052,31.019709423967328,1,808.5,436.5,-1,0.78955078125,0.7461538461538462
29,916,579,1015,580,99,1,99.00505037623081,0.5787255656077621,0,965.5,579.5,-1,0.94287109375,0.9905982905982906
30,353,369,576,369,223,0,223.0,0.0,0,464.5,369.0,-1,0.45361328125,0.6307692307692307
31,448,354,678,354,230,0,230.0,0.0,0,563.0,354.0,-1,0.5498046875,0.6051282051282051
32,498,352,682,352,184,0,184.0,0.0,0,590.0,352.0,-1,0.576171875,0.6017094017094017
33,296,556,350,556,54,0,54.0,0.0,0,323.0,556.0,-1,0.3154296875,0.9504273504273504
34,359,427,803,427,444,0,444.0,0.0,0,581.0,427.0,-1,0.5673828125,0.7299145299145299
35,394,424,431,424,37,0,37.0,0.0,0,412.5,424.0,-1,0.40283203125,0.7247863247863248
36,18,550,142,550,124,0,124.0,0.0,0,80.0,550.0,-1,0.078125,0.9401709401709402
37,23,554,169,474,146,-80,166.48123017325406,151.2796732021305,2,96.0,514.0,-1,0.09375,0.8786324786324786
38,447,414,637,418,190,4,190.04210059878838,1.2060487792199577,0,542.0,416.0,-1,0.529296875,0.7111111111111111
39,432,383,568,383,136,0,136.0,0.0,0,500.0,383.0,-1,0.48828125,0.6547008547008547
40,819,578,942,576,123,-2,123.01625908797584,179.0684434019225,0,880.5,577.0,-1,0.85986328125,0.9863247863247864
41,660,346,1017,560,357,214,416.22710147226115,30.940148878068285,1,838.5,453.0,-1,0.81884765625,0.7743589743589744
42,859,523,968,526,109,3,109.04127658827184,1.576550055183732,0,913.5,524.5,-1,0.89208984375,0.8965811965811966
43,228,443,393,352,165,-91,188.43035848822237,151.1225987777172,2,310.5,397.5,-1,0.30322265625,0.6794871794871795
44,643,522,953,517,310,-5,310.0403199585499,179.0759546472273,0,798.0,519.5,-1,0.779296875,0.888034188034188
45,139,485,324,383,185,-102,211.25576915199264,151.1297954741791,2,231.5,434.0,-1,0.22607421875,0.7418803418803419
46,519,559,536,359,17,-200,200.7211996775627,94.85846291903428,2,527.5,459.0,-1,0.51513671875,0.7846153846153846
47,817,571,944,571,127,0,127.0,0.0,0,880.5,571.0,-1,0.85986328125,0.976068376068376
48,817,572,982,572,165,0,165.0,0.0,0,899.5,572.0,-1,0.87841796875,0.9777777777777777
49,98,554,291,429,193,-125,229.94347131414713,147.07014548938793,2,194.5,491.5,-1,0.18994140625,0.8401709401709402
50,221,441,325,383,104,-58,119.07980517283357,150.85192815428695,2,273.0,412.0,-1,0.2666015625,0.7042735042735043
51,356,367,703,367,347,0,347.0,0.0,0,529.5,367.0,-1,0.51708984375,0.6273504273504273
